tenure_cycles,end_of_month,survival_fraction
0,0,1.0
1,3,0.5981695936933155
2,6,0.37050408582533323
3,9,0.23656429633717616
4,12,0.15513058423587706
5,15,0.1041642522975678
6,18,0.07143474101239511
7,21,0.04992714262127169
8,24,0.03549802339025109
9,27,0.025634609194868072
10,30,0.01877631399346911
11,33,0.013932745716600166
12,36,0.010462865507838051
13,39,0.00794420112731912
14,42,0.0060936680850510894
15,45,0.004718655862747247
16,48,0.0036862430252733195
